ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
2177,Haryana,Gurgaon,Locality_361,Independent House,1,1795,432.64,24102.50696,1996,Unfurnished,4,1,29,2,3,Medium,Yes,No,Clubhouse,South,Builder,Ready_to_Move
2178,Telangana,Warangal,Locality_273,Apartment,2,4092,43.08,1052.785924,2023,Unfurnished,14,5,2,7,3,Low,No,Yes,Playground,South,Broker,Under_Construction
2179,West Bengal,Kolkata,Locality_274,Independent House,3,4363,15.64,358.4689434,1990,Unfurnished,0,24,35,9,1,Medium,No,No,"Gym, Playground, Garden, Clubhouse, Pool",West,Owner,Under_Construction
2180,Telangana,Warangal,Locality_333,Villa,3,3083,132.84,4308.790139,2013,Furnished,6,30,12,7,7,Medium,No,Yes,"Gym, Pool",South,Builder,Under_Construction
2181,Uttar Pradesh,Lucknow,Locality_359,Independent House,1,4327,92.56,2139.126416,2001,Unfurnished,3,16,24,7,10,Low,Yes,No,"Garden, Playground, Clubhouse, Gym, Pool",West,Builder,Ready_to_Move
2182,Telangana,Warangal,Locality_83,Independent House,5,4613,278.69,6041.404726,1993,Furnished,29,9,32,8,10,Medium,No,No,"Pool, Gym",South,Broker,Under_Construction
2183,Assam,Silchar,Locality_247,Villa,5,4636,341.61,7368.636756,2007,Unfurnished,11,19,18,8,5,High,No,No,"Pool, Clubhouse, Garden, Playground",South,Broker,Under_Construction
2184,Uttarakhand,Dehradun,Locality_135,Independent House,5,647,147.21,22752.70479,2003,Unfurnished,4,1,22,2,10,Medium,Yes,No,"Clubhouse, Pool, Playground, Gym, Garden",South,Builder,Under_Construction
2185,Odisha,Cuttack,Locality_219,Apartment,4,2342,296.25,12649.44492,1992,Semi-furnished,11,11,33,3,1,Medium,No,No,"Garden, Gym, Playground, Pool",North,Broker,Ready_to_Move
2186,Karnataka,Mangalore,Locality_234,Apartment,1,4429,23.32,526.5296907,2012,Furnished,26,2,13,5,10,High,No,No,Garden,North,Owner,Under_Construction
2187,West Bengal,Kolkata,Locality_90,Apartment,4,4600,89.3,1941.304348,2000,Furnished,27,3,25,8,6,Low,No,No,"Garden, Gym",West,Builder,Ready_to_Move
2188,Assam,Guwahati,Locality_193,Independent House,5,3689,195.79,5307.40038,1999,Semi-furnished,0,17,26,9,5,High,Yes,Yes,"Gym, Playground, Clubhouse",East,Owner,Under_Construction
2189,Uttar Pradesh,Lucknow,Locality_178,Independent House,5,2474,310.31,12542.84559,2009,Semi-furnished,20,1,16,5,10,Low,Yes,No,"Playground, Pool",East,Owner,Under_Construction
2190,Chhattisgarh,Raipur,Locality_471,Villa,3,3159,342.5,10842.03862,1997,Furnished,17,10,28,2,3,Medium,Yes,No,"Clubhouse, Playground, Pool, Gym",West,Builder,Under_Construction
2191,Haryana,Gurgaon,Locality_125,Independent House,1,1147,375.13,32705.31822,2008,Furnished,27,28,17,3,3,High,No,No,Pool,East,Owner,Ready_to_Move
2192,Odisha,Cuttack,Locality_369,Villa,1,1523,61.67,4049.244911,1993,Semi-furnished,0,18,32,2,8,High,No,No,Pool,North,Broker,Under_Construction
2193,Assam,Guwahati,Locality_11,Apartment,3,3186,64.56,2026.365348,2011,Semi-furnished,23,24,14,4,10,Low,Yes,No,Pool,North,Builder,Ready_to_Move
2194,Andhra Pradesh,Vijayawada,Locality_92,Apartment,5,1936,312.29,16130.68182,2011,Unfurnished,6,25,14,5,5,Low,Yes,No,"Gym, Playground, Garden",North,Broker,Under_Construction
2195,Haryana,Gurgaon,Locality_351,Villa,5,3023,184.25,6094.938803,1990,Semi-furnished,2,10,35,1,8,Medium,Yes,Yes,"Gym, Clubhouse, Pool, Playground",East,Builder,Under_Construction
2196,Gujarat,Surat,Locality_82,Independent House,3,1342,389.81,29046.94486,2018,Semi-furnished,27,10,7,1,2,High,Yes,No,Pool,East,Broker,Under_Construction
2197,Bihar,Patna,Locality_476,Independent House,3,868,339.79,39146.31336,2014,Semi-furnished,0,27,11,4,8,Medium,No,No,"Gym, Clubhouse, Garden",South,Owner,Under_Construction
2198,Chhattisgarh,Bilaspur,Locality_477,Apartment,5,2669,184.78,6923.192207,1999,Semi-furnished,14,17,26,7,1,Medium,Yes,No,"Clubhouse, Playground",West,Broker,Ready_to_Move
2199,Haryana,Faridabad,Locality_450,Independent House,3,1090,36.23,3323.853211,2022,Furnished,3,26,3,8,2,Medium,No,Yes,"Clubhouse, Gym, Playground, Garden, Pool",South,Builder,Under_Construction
2200,Chhattisgarh,Bilaspur,Locality_189,Apartment,2,2412,464.52,19258.70647,2002,Furnished,24,13,23,3,2,High,Yes,Yes,"Pool, Garden, Gym, Clubhouse",West,Builder,Under_Construction
2201,Madhya Pradesh,Indore,Locality_372,Villa,3,3690,72.59,1967.208672,2011,Furnished,25,15,14,9,3,Medium,No,No,"Playground, Clubhouse, Pool, Garden",East,Broker,Ready_to_Move
2202,Punjab,Amritsar,Locality_465,Apartment,2,4021,252.36,6276.050734,2006,Semi-furnished,1,23,19,2,4,Medium,Yes,No,"Pool, Playground, Gym",West,Broker,Ready_to_Move
2203,Uttarakhand,Haridwar,Locality_308,Villa,5,3494,45.99,1316.25644,2008,Semi-furnished,21,18,17,3,5,Medium,Yes,Yes,"Garden, Playground",North,Owner,Ready_to_Move
2204,Odisha,Bhubaneswar,Locality_5,Villa,5,4979,490.07,9842.739506,1999,Furnished,20,9,26,5,5,Low,Yes,No,"Playground, Clubhouse, Garden",West,Broker,Under_Construction
2205,Uttar Pradesh,Noida,Locality_99,Independent House,2,1238,349.52,28232.63328,1994,Unfurnished,2,24,31,9,4,High,No,No,"Gym, Garden, Playground, Pool",West,Broker,Ready_to_Move
2206,Rajasthan,Jodhpur,Locality_405,Apartment,1,4764,231.4,4857.262804,2007,Furnished,21,21,18,2,8,Low,No,No,"Clubhouse, Garden",East,Builder,Under_Construction
2207,Punjab,Amritsar,Locality_13,Villa,5,1090,121.91,11184.40367,2000,Semi-furnished,5,29,25,10,9,Medium,Yes,No,Playground,South,Broker,Ready_to_Move
2208,Chhattisgarh,Bilaspur,Locality_216,Independent House,2,2379,298.65,12553.59395,2009,Furnished,3,16,16,2,7,High,Yes,Yes,"Gym, Clubhouse, Playground, Pool",West,Broker,Ready_to_Move
2209,Kerala,Kochi,Locality_108,Villa,5,4845,76.33,1575.438596,1994,Furnished,4,23,31,10,9,Low,Yes,Yes,"Pool, Gym, Garden, Playground",West,Broker,Ready_to_Move
2210,Rajasthan,Jodhpur,Locality_311,Villa,4,2366,142.41,6019.019442,2022,Unfurnished,4,28,3,7,1,Low,No,No,"Garden, Pool, Gym, Playground",West,Owner,Ready_to_Move
2211,Kerala,Kochi,Locality_357,Apartment,3,1939,161.32,8319.75245,1995,Unfurnished,29,8,30,6,2,Medium,No,Yes,Gym,South,Owner,Ready_to_Move
2212,Kerala,Trivandrum,Locality_48,Apartment,2,1288,404.88,31434.78261,2021,Unfurnished,21,22,4,3,4,Medium,Yes,Yes,"Clubhouse, Garden",West,Owner,Ready_to_Move
2213,Uttar Pradesh,Lucknow,Locality_206,Independent House,4,3238,452.12,13962.94009,2022,Furnished,23,14,3,6,4,Low,Yes,No,"Gym, Pool, Clubhouse, Playground, Garden",East,Builder,Ready_to_Move
2214,Odisha,Cuttack,Locality_203,Apartment,5,2585,26.44,1022.823985,2012,Furnished,17,26,13,5,6,Low,No,Yes,"Gym, Playground",West,Broker,Ready_to_Move
2215,Haryana,Faridabad,Locality_168,Apartment,1,3274,110.88,3386.682957,1997,Semi-furnished,25,25,28,5,5,Medium,No,Yes,"Playground, Pool, Gym",North,Owner,Under_Construction
2216,Odisha,Bhubaneswar,Locality_138,Villa,5,4550,132.59,2914.065934,2023,Unfurnished,26,10,2,2,7,Medium,Yes,No,"Gym, Pool, Playground, Garden, Clubhouse",North,Owner,Under_Construction
2217,Madhya Pradesh,Indore,Locality_486,Apartment,4,2197,43.18,1965.407374,2013,Semi-furnished,18,10,12,9,4,Low,Yes,Yes,"Clubhouse, Gym, Pool, Playground, Garden",West,Builder,Under_Construction
2218,Chhattisgarh,Bilaspur,Locality_213,Villa,1,4908,241.89,4928.484108,2021,Furnished,14,7,4,10,6,Low,Yes,No,"Garden, Clubhouse, Pool",North,Owner,Under_Construction
2219,Punjab,Amritsar,Locality_345,Villa,4,1104,454.04,41126.81159,2001,Furnished,22,14,24,8,2,Low,No,No,"Pool, Clubhouse, Gym",West,Owner,Ready_to_Move
2220,Kerala,Kochi,Locality_173,Independent House,5,3498,137.64,3934.819897,2020,Semi-furnished,5,6,5,7,2,High,Yes,Yes,Garden,East,Builder,Ready_to_Move
2221,Tamil Nadu,Coimbatore,Locality_206,Apartment,3,1448,205.27,14176.10497,2002,Furnished,14,14,23,7,5,Low,Yes,Yes,"Garden, Clubhouse, Playground",West,Broker,Under_Construction
2222,Jharkhand,Jamshedpur,Locality_46,Villa,4,1075,341.04,31724.65116,2004,Unfurnished,22,8,21,1,3,Low,No,Yes,"Playground, Clubhouse",North,Owner,Under_Construction
2223,Chhattisgarh,Bilaspur,Locality_14,Apartment,1,2336,176.93,7574.058219,2015,Semi-furnished,0,26,10,6,10,High,Yes,Yes,Garden,West,Builder,Under_Construction
2224,Andhra Pradesh,Vishakhapatnam,Locality_495,Independent House,4,3426,324.45,9470.227671,2015,Semi-furnished,24,8,10,8,9,Low,No,Yes,"Garden, Clubhouse, Gym",South,Builder,Ready_to_Move
2225,Andhra Pradesh,Vishakhapatnam,Locality_53,Villa,5,4499,222.94,4955.323405,2016,Unfurnished,17,20,9,3,3,Medium,Yes,Yes,Pool,East,Broker,Under_Construction
2226,Madhya Pradesh,Indore,Locality_481,Villa,5,4648,300.45,6464.070568,2021,Unfurnished,24,7,4,1,2,Medium,No,No,"Gym, Playground",South,Owner,Ready_to_Move
2227,West Bengal,Kolkata,Locality_313,Independent House,2,1685,339.19,20129.97033,2019,Furnished,7,24,6,1,6,High,Yes,Yes,"Gym, Pool, Garden, Playground",East,Builder,Ready_to_Move
2228,Kerala,Kochi,Locality_104,Villa,1,4284,51.3,1197.478992,2022,Unfurnished,0,14,3,10,1,High,No,No,"Clubhouse, Pool",West,Owner,Ready_to_Move
2229,Karnataka,Bangalore,Locality_38,Villa,2,4061,168.07,4138.635804,1997,Furnished,23,3,28,5,7,Medium,No,No,Garden,East,Builder,Under_Construction
2230,Kerala,Trivandrum,Locality_14,Independent House,3,2114,312.36,14775.78051,2011,Unfurnished,12,18,14,1,2,Medium,Yes,No,"Playground, Clubhouse, Pool, Garden, Gym",North,Owner,Ready_to_Move
2231,Delhi,Dwarka,Locality_108,Independent House,3,3802,118.17,3108.100999,2008,Furnished,20,17,17,6,7,Low,No,No,"Clubhouse, Pool",West,Owner,Ready_to_Move
2232,Madhya Pradesh,Bhopal,Locality_200,Villa,1,1600,232.21,14513.125,2006,Furnished,16,26,19,10,2,Medium,Yes,No,Garden,South,Builder,Under_Construction
2233,Bihar,Patna,Locality_440,Apartment,4,3425,321.77,9394.744526,2012,Furnished,5,30,13,4,7,High,Yes,Yes,"Pool, Garden, Clubhouse",East,Broker,Under_Construction
2234,Punjab,Amritsar,Locality_227,Villa,2,1034,467.17,45180.85106,1993,Furnished,19,15,32,8,2,Medium,Yes,Yes,"Garden, Pool, Gym",East,Broker,Under_Construction
2235,Odisha,Bhubaneswar,Locality_401,Apartment,3,763,170.55,22352.5557,1996,Unfurnished,5,7,29,1,4,High,Yes,Yes,"Garden, Pool",South,Builder,Under_Construction
2236,Uttar Pradesh,Lucknow,Locality_128,Independent House,1,2495,407.19,16320.24048,1998,Unfurnished,13,15,27,9,4,High,No,Yes,"Playground, Gym, Garden, Pool, Clubhouse",East,Broker,Ready_to_Move
2237,Uttar Pradesh,Lucknow,Locality_334,Independent House,3,4864,150.03,3084.498355,2011,Furnished,18,28,14,5,1,High,No,Yes,"Clubhouse, Gym",North,Broker,Under_Construction
2238,Chhattisgarh,Bilaspur,Locality_95,Villa,1,4093,203.08,4961.641828,1991,Unfurnished,18,21,34,3,10,High,Yes,No,"Garden, Pool, Gym, Clubhouse",West,Owner,Under_Construction
2239,Punjab,Ludhiana,Locality_468,Apartment,1,1958,308.17,15739.01941,2020,Semi-furnished,7,17,5,7,7,Medium,No,No,Pool,East,Owner,Under_Construction
2240,Chhattisgarh,Bilaspur,Locality_377,Independent House,4,1509,292.46,19381.04705,2020,Semi-furnished,1,9,5,1,2,Low,Yes,No,"Pool, Garden, Clubhouse",West,Builder,Ready_to_Move
2241,Punjab,Amritsar,Locality_357,Apartment,4,1759,264.95,15062.53553,2013,Furnished,8,1,12,10,3,High,No,No,"Pool, Garden, Clubhouse",West,Broker,Under_Construction
2242,West Bengal,Durgapur,Locality_175,Villa,4,866,432.94,49993.07159,2007,Unfurnished,11,19,18,8,3,High,No,No,"Pool, Playground, Gym, Clubhouse",East,Broker,Under_Construction
2243,Tamil Nadu,Coimbatore,Locality_290,Villa,2,600,331.03,55171.66667,2022,Semi-furnished,24,19,3,3,9,Medium,Yes,No,"Pool, Clubhouse",West,Builder,Ready_to_Move
2244,Uttarakhand,Dehradun,Locality_28,Villa,1,1777,276.31,15549.24029,1995,Unfurnished,26,13,30,1,9,Low,No,Yes,"Gym, Garden, Pool, Clubhouse, Playground",East,Owner,Under_Construction
2245,Jharkhand,Jamshedpur,Locality_137,Independent House,2,4100,331.6,8087.804878,2016,Semi-furnished,11,28,9,6,1,High,Yes,No,"Garden, Playground, Gym, Clubhouse, Pool",North,Owner,Under_Construction
2246,Rajasthan,Jodhpur,Locality_456,Villa,3,3019,356.5,11808.54588,2010,Furnished,13,18,15,3,6,Low,No,No,Garden,South,Owner,Ready_to_Move
2247,Rajasthan,Jodhpur,Locality_12,Apartment,4,2597,124.73,4802.849442,1997,Unfurnished,11,5,28,6,4,Medium,No,No,"Playground, Pool, Garden, Clubhouse, Gym",West,Owner,Ready_to_Move
2248,Karnataka,Mysore,Locality_270,Independent House,3,2944,367.3,12476.22283,2005,Unfurnished,9,21,20,3,6,Low,No,Yes,"Gym, Pool, Clubhouse",North,Builder,Ready_to_Move
2249,Assam,Silchar,Locality_475,Apartment,2,4544,14.3,314.7007042,1998,Unfurnished,20,7,27,6,10,Medium,No,Yes,"Clubhouse, Pool, Gym, Garden, Playground",North,Owner,Ready_to_Move
2250,Rajasthan,Jaipur,Locality_148,Villa,3,4367,45.88,1050.606824,2009,Semi-furnished,12,5,16,3,2,Low,Yes,No,"Clubhouse, Garden, Playground, Pool, Gym",West,Broker,Ready_to_Move
2251,Rajasthan,Jodhpur,Locality_491,Independent House,5,3946,342.71,8684.997466,2001,Unfurnished,14,16,24,5,4,High,No,Yes,"Pool, Gym, Garden, Clubhouse",North,Broker,Ready_to_Move
2252,Karnataka,Mysore,Locality_305,Apartment,4,2433,139.87,5748.869708,2011,Semi-furnished,4,9,14,6,8,Low,Yes,No,"Playground, Clubhouse, Pool, Garden, Gym",North,Broker,Ready_to_Move
2253,Tamil Nadu,Coimbatore,Locality_70,Independent House,4,2325,110.4,4748.387097,2002,Unfurnished,4,5,23,5,4,High,No,Yes,Clubhouse,West,Builder,Under_Construction
2254,Telangana,Hyderabad,Locality_273,Villa,5,884,157.66,17834.84163,1991,Semi-furnished,2,28,34,9,9,Medium,Yes,No,"Playground, Gym, Clubhouse",East,Broker,Under_Construction
2255,Haryana,Gurgaon,Locality_404,Apartment,2,1973,182.17,9233.147491,2021,Unfurnished,1,12,4,10,8,High,Yes,Yes,"Garden, Gym, Clubhouse",East,Builder,Ready_to_Move
2256,Odisha,Cuttack,Locality_101,Independent House,1,4838,140.91,2912.567177,2019,Unfurnished,5,12,6,5,2,Low,Yes,Yes,"Pool, Gym, Garden",West,Builder,Under_Construction
2257,Tamil Nadu,Coimbatore,Locality_267,Apartment,3,1609,422.13,26235.55003,1995,Unfurnished,16,1,30,10,10,High,No,Yes,"Garden, Clubhouse, Pool, Playground",South,Broker,Under_Construction
2258,West Bengal,Durgapur,Locality_150,Apartment,2,4431,76.22,1720.153464,2023,Furnished,26,25,2,4,10,Low,Yes,Yes,"Garden, Gym",North,Owner,Ready_to_Move
2259,Maharashtra,Pune,Locality_64,Villa,1,4911,156.74,3191.61067,2018,Semi-furnished,22,4,7,5,10,Low,Yes,Yes,"Garden, Playground, Pool, Clubhouse, Gym",South,Broker,Under_Construction
2260,Chhattisgarh,Bilaspur,Locality_160,Independent House,4,1659,24.94,1503.31525,1999,Semi-furnished,19,10,26,4,5,Medium,Yes,No,Gym,West,Builder,Under_Construction
2261,Gujarat,Surat,Locality_292,Apartment,4,1537,482.56,31396.22642,2012,Unfurnished,5,5,13,2,7,Low,No,Yes,Garden,South,Broker,Under_Construction
2262,Telangana,Hyderabad,Locality_183,Independent House,3,3348,388.08,11591.39785,2008,Unfurnished,12,4,17,4,10,Medium,No,Yes,Pool,South,Owner,Ready_to_Move
2263,Odisha,Cuttack,Locality_193,Independent House,2,2957,201.81,6824.822455,1998,Unfurnished,9,28,27,1,9,Medium,Yes,Yes,"Playground, Pool, Clubhouse",North,Broker,Ready_to_Move
2264,Odisha,Bhubaneswar,Locality_371,Independent House,1,1945,251.85,12948.58612,1997,Furnished,18,28,28,10,6,Medium,Yes,No,"Pool, Clubhouse",South,Owner,Under_Construction
2265,Uttar Pradesh,Noida,Locality_453,Apartment,3,2751,19.41,705.561614,1994,Furnished,18,16,31,1,9,Low,No,Yes,"Garden, Clubhouse, Gym",East,Broker,Ready_to_Move
2266,Kerala,Kochi,Locality_240,Villa,4,2700,75.88,2810.37037,1994,Furnished,18,6,31,6,10,High,No,Yes,Clubhouse,East,Builder,Ready_to_Move
2267,Haryana,Faridabad,Locality_445,Independent House,4,4774,40.92,857.1428571,2002,Semi-furnished,21,21,23,4,3,High,Yes,Yes,"Gym, Pool, Playground, Clubhouse, Garden",North,Owner,Under_Construction
2268,Kerala,Trivandrum,Locality_243,Independent House,5,1591,80.33,5049.02577,2007,Unfurnished,21,21,18,5,5,Medium,Yes,No,"Garden, Clubhouse, Gym",North,Owner,Under_Construction
2269,Karnataka,Bangalore,Locality_449,Independent House,5,1827,138.44,7577.449371,2018,Unfurnished,10,2,7,2,10,High,No,No,"Clubhouse, Pool, Playground, Gym, Garden",North,Builder,Ready_to_Move
2270,Delhi,Dwarka,Locality_149,Independent House,2,2338,373.39,15970.4876,1996,Unfurnished,17,13,29,5,2,High,No,Yes,"Garden, Pool, Playground",South,Broker,Ready_to_Move
2271,Jharkhand,Ranchi,Locality_78,Apartment,3,2467,170.94,6929.06364,2000,Furnished,30,3,25,8,9,Medium,Yes,No,"Playground, Gym, Clubhouse, Garden, Pool",West,Owner,Under_Construction
2272,Rajasthan,Jodhpur,Locality_238,Independent House,3,4367,69.02,1580.490039,1997,Semi-furnished,11,10,28,4,10,Medium,Yes,No,Gym,West,Owner,Under_Construction
2273,Chhattisgarh,Bilaspur,Locality_57,Villa,1,3019,320.94,10630.67241,2014,Unfurnished,10,17,11,6,7,High,No,Yes,"Pool, Garden, Playground, Gym, Clubhouse",South,Builder,Ready_to_Move
2274,Karnataka,Bangalore,Locality_442,Villa,1,2824,344.77,12208.56941,2006,Furnished,8,4,19,2,3,High,No,No,"Garden, Clubhouse",South,Broker,Under_Construction
2275,Gujarat,Ahmedabad,Locality_487,Independent House,5,1373,291.91,21260.7429,2021,Semi-furnished,15,10,4,1,7,Low,Yes,No,"Gym, Clubhouse, Pool, Playground",East,Broker,Ready_to_Move
2276,Telangana,Warangal,Locality_201,Apartment,1,2792,144.45,5173.710602,2012,Semi-furnished,15,8,13,10,9,High,No,Yes,"Playground, Garden, Pool, Gym, Clubhouse",North,Broker,Under_Construction
2277,Gujarat,Ahmedabad,Locality_50,Apartment,4,2381,69.83,2932.801344,2005,Furnished,14,10,20,8,5,Medium,No,Yes,"Gym, Clubhouse, Pool, Playground, Garden",East,Builder,Under_Construction
2278,Karnataka,Bangalore,Locality_445,Villa,1,3734,159.37,4268.077129,1998,Furnished,1,28,27,3,9,Low,Yes,No,"Playground, Clubhouse",West,Owner,Ready_to_Move
2279,Andhra Pradesh,Vijayawada,Locality_313,Villa,5,2376,39.99,1683.080808,2011,Unfurnished,6,10,14,10,3,High,Yes,No,"Garden, Gym",West,Builder,Under_Construction
2280,Odisha,Bhubaneswar,Locality_263,Villa,3,3949,136.03,3444.669537,2014,Semi-furnished,23,19,11,5,2,Low,Yes,Yes,"Clubhouse, Pool, Playground",West,Owner,Under_Construction
2281,Gujarat,Ahmedabad,Locality_252,Independent House,4,2590,313.63,12109.26641,2003,Unfurnished,9,4,22,3,1,Low,Yes,Yes,"Gym, Playground",East,Owner,Under_Construction
2282,Kerala,Trivandrum,Locality_287,Independent House,2,2343,237.52,10137.43064,2006,Furnished,12,27,19,8,9,Medium,No,Yes,Gym,East,Owner,Ready_to_Move
2283,Karnataka,Mysore,Locality_345,Apartment,1,3795,437.46,11527.27273,1995,Semi-furnished,27,25,30,2,3,Medium,No,No,"Clubhouse, Gym, Garden",East,Owner,Under_Construction
2284,Maharashtra,Mumbai,Locality_315,Independent House,5,1095,166.26,15183.56164,2009,Furnished,4,1,16,8,8,High,No,No,"Gym, Playground",East,Owner,Ready_to_Move
2285,Kerala,Trivandrum,Locality_384,Villa,4,4938,134.01,2713.851762,2023,Semi-furnished,23,14,2,3,8,Medium,No,Yes,Playground,West,Owner,Under_Construction
2286,Jharkhand,Jamshedpur,Locality_445,Apartment,2,2006,206.92,10315.05484,1999,Unfurnished,18,14,26,9,10,Medium,No,Yes,"Gym, Playground, Pool, Garden",East,Broker,Under_Construction
2287,Uttarakhand,Haridwar,Locality_322,Villa,3,962,204.09,21215.17672,2006,Semi-furnished,15,21,19,9,9,High,Yes,Yes,Garden,North,Builder,Under_Construction
2288,Tamil Nadu,Chennai,Locality_324,Independent House,1,2141,95.52,4461.466604,2005,Unfurnished,3,24,20,9,1,High,Yes,Yes,Playground,North,Broker,Ready_to_Move
2289,Haryana,Gurgaon,Locality_325,Villa,1,4661,358.16,7684.187943,1995,Unfurnished,28,9,30,8,6,High,Yes,Yes,Gym,South,Builder,Under_Construction
2290,Kerala,Trivandrum,Locality_33,Villa,5,4590,151.26,3295.424837,2012,Furnished,28,8,13,5,10,High,No,Yes,"Playground, Pool, Gym, Garden, Clubhouse",West,Owner,Under_Construction
2291,Bihar,Gaya,Locality_195,Villa,3,710,434.44,61188.73239,2015,Furnished,7,5,10,6,8,Low,Yes,Yes,"Clubhouse, Gym, Playground",East,Owner,Ready_to_Move
2292,Chhattisgarh,Raipur,Locality_141,Villa,2,2638,357.28,13543.59363,2014,Unfurnished,11,15,11,7,4,Low,No,No,"Pool, Playground, Gym, Clubhouse",North,Broker,Under_Construction
2293,Assam,Guwahati,Locality_261,Apartment,4,2332,378.75,16241.42367,2011,Semi-furnished,21,10,14,2,10,Low,Yes,Yes,Playground,North,Builder,Under_Construction
2294,Odisha,Cuttack,Locality_213,Apartment,3,1833,14.84,809.6017458,2007,Furnished,26,28,18,3,3,Medium,Yes,No,"Garden, Pool, Clubhouse",East,Builder,Under_Construction
2295,West Bengal,Durgapur,Locality_47,Independent House,4,4703,64.09,1362.747183,2011,Unfurnished,21,5,14,8,10,Medium,No,Yes,Gym,North,Owner,Ready_to_Move
2296,Assam,Guwahati,Locality_347,Villa,3,2715,46.95,1729.281768,1991,Semi-furnished,13,1,34,8,8,Low,No,No,Clubhouse,West,Owner,Ready_to_Move
2297,Bihar,Gaya,Locality_91,Independent House,5,811,493.36,60833.53884,1997,Unfurnished,15,2,28,4,8,Medium,Yes,No,"Clubhouse, Garden, Gym, Playground, Pool",North,Owner,Ready_to_Move
2298,Punjab,Ludhiana,Locality_187,Independent House,3,3096,379.95,12272.28682,2022,Unfurnished,26,3,3,1,9,Medium,Yes,Yes,"Clubhouse, Pool, Garden",West,Builder,Ready_to_Move
2299,Uttar Pradesh,Lucknow,Locality_53,Independent House,3,3931,426.55,10850.92852,2018,Furnished,6,26,7,9,5,Medium,No,Yes,"Garden, Gym",North,Builder,Ready_to_Move
2300,Tamil Nadu,Coimbatore,Locality_303,Independent House,3,2605,54.94,2109.021113,2009,Unfurnished,1,26,16,3,8,Medium,No,No,"Garden, Pool, Playground, Gym",South,Owner,Under_Construction
2301,Haryana,Gurgaon,Locality_356,Independent House,5,3007,95.31,3169.604257,1991,Furnished,14,17,34,3,4,Medium,Yes,No,"Playground, Pool, Gym",North,Owner,Ready_to_Move
2302,Gujarat,Surat,Locality_401,Apartment,2,2049,287.65,14038.55539,1995,Unfurnished,5,23,30,6,6,High,Yes,No,Clubhouse,East,Owner,Under_Construction
2303,Bihar,Gaya,Locality_406,Apartment,1,3156,284.32,9008.87199,2000,Semi-furnished,22,30,25,2,1,Medium,Yes,No,"Garden, Pool, Gym, Playground, Clubhouse",West,Builder,Ready_to_Move
2304,Punjab,Ludhiana,Locality_210,Apartment,1,1236,240.15,19429.61165,2007,Unfurnished,25,20,18,9,3,High,No,No,"Garden, Clubhouse, Pool, Playground, Gym",East,Broker,Under_Construction
2305,Gujarat,Ahmedabad,Locality_254,Independent House,4,3238,191.08,5901.173564,2008,Furnished,20,18,17,3,2,Low,No,No,"Pool, Playground, Clubhouse",North,Builder,Under_Construction
2306,Maharashtra,Nagpur,Locality_217,Independent House,4,1926,228.04,11840.08307,2002,Unfurnished,21,6,23,3,1,High,Yes,No,"Pool, Clubhouse, Playground, Gym, Garden",East,Builder,Under_Construction
2307,Haryana,Gurgaon,Locality_473,Independent House,5,797,138.67,17398.99624,1992,Semi-furnished,3,2,33,2,10,High,Yes,No,"Garden, Gym, Pool, Clubhouse, Playground",East,Owner,Ready_to_Move
2308,Kerala,Kochi,Locality_236,Apartment,4,1015,19.92,1962.561576,1996,Semi-furnished,11,3,29,8,7,Medium,Yes,No,"Garden, Gym, Pool, Playground",South,Owner,Ready_to_Move
2309,Jharkhand,Ranchi,Locality_495,Apartment,3,4188,394.63,9422.874881,2010,Unfurnished,28,21,15,1,6,Low,Yes,No,"Gym, Garden, Clubhouse, Playground",West,Broker,Ready_to_Move
2310,Uttar Pradesh,Lucknow,Locality_78,Villa,1,1491,105.92,7103.957076,2017,Furnished,29,19,8,6,10,High,No,No,"Garden, Clubhouse, Gym, Pool",North,Broker,Under_Construction
2311,Gujarat,Ahmedabad,Locality_210,Apartment,5,3324,242.78,7303.850782,2001,Semi-furnished,11,10,24,4,10,High,No,Yes,"Playground, Pool, Garden, Gym",South,Broker,Ready_to_Move
2312,Uttarakhand,Dehradun,Locality_191,Apartment,5,571,398.15,69728.54641,2003,Semi-furnished,17,16,22,1,8,Medium,Yes,Yes,"Gym, Garden, Playground, Clubhouse",North,Owner,Under_Construction
2313,Andhra Pradesh,Vijayawada,Locality_491,Independent House,3,4297,77.66,1807.307424,1993,Furnished,23,21,32,3,3,Low,No,No,"Pool, Playground, Gym",North,Broker,Under_Construction
2314,Telangana,Warangal,Locality_95,Villa,2,2747,482.82,17576.26502,2012,Unfurnished,10,20,13,9,5,High,Yes,Yes,Clubhouse,East,Owner,Ready_to_Move
2315,Assam,Silchar,Locality_357,Independent House,4,3306,335.93,10161.22202,2013,Furnished,2,22,12,10,5,Low,No,Yes,"Clubhouse, Garden",North,Builder,Ready_to_Move
2316,Haryana,Gurgaon,Locality_193,Villa,5,1754,402.13,22926.45382,2010,Unfurnished,12,3,15,1,10,Medium,No,No,"Playground, Garden, Pool, Clubhouse",North,Owner,Under_Construction
